PUMP DETECTED! sleeping 10 sec
after pump value = 0
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:03 +0000
Value = 0, 2013-07-23 16:21:04 +0000
Value = 0, 2013-07-23 16:21:05 +0000
Value = 0, 2013-07-23 16:21:06 +0000
Value = 0, 2013-07-23 16:21:07 +0000
Value = 0, 2013-07-23 16:21:08 +0000
new pot of coffee added! changing time stamp. value = 100
Value = 1056, 2013-07-23 16:21:09 +0000
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:10 +0000
Value = 0, 2013-07-23 16:21:11 +0000
Value = 0, 2013-07-23 16:21:12 +0000
Value = 0, 2013-07-23 16:21:13 +0000
Value = 0, 2013-07-23 16:21:15 +0000
Value = 0, 2013-07-23 16:21:16 +0000
Value = 0, 2013-07-23 16:21:17 +0000
Value = 0, 2013-07-23 16:21:18 +0000
Value = 0, 2013-07-23 16:21:19 +0000
Value = 0, 2013-07-23 16:21:20 +0000
Value = 0, 2013-07-23 16:21:21 +0000
Value = 0, 2013-07-23 16:21:22 +0000
Value = 0, 2013-07-23 16:21:23 +0000
Value = 0, 2013-07-23 16:21:24 +0000
Value = 0, 2013-07-23 16:21:25 +0000
Value = 0, 2013-07-23 16:21:26 +0000
Value = 0, 2013-07-23 16:21:28 +0000
Value = 0, 2013-07-23 16:21:29 +0000
Value = 0, 2013-07-23 16:21:30 +0000
Value = 0, 2013-07-23 16:21:31 +0000
Value = 0, 2013-07-23 16:21:32 +0000
Value = 0, 2013-07-23 16:21:33 +0000
Value = 0, 2013-07-23 16:21:34 +0000
Value = 0, 2013-07-23 16:21:35 +0000
Value = 0, 2013-07-23 16:21:36 +0000
Value = 0, 2013-07-23 16:21:37 +0000
Value = 0, 2013-07-23 16:21:39 +0000
Value = 0, 2013-07-23 16:21:40 +0000
Value = 0, 2013-07-23 16:21:41 +0000
Value = 0, 2013-07-23 16:21:42 +0000
Value = 0, 2013-07-23 16:21:43 +0000
Value = 0, 2013-07-23 16:21:44 +0000
Value = 0, 2013-07-23 16:21:45 +0000
Value = 0, 2013-07-23 16:21:46 +0000
Value = 0, 2013-07-23 16:21:47 +0000
Value = 0, 2013-07-23 16:21:48 +0000
Value = 0, 2013-07-23 16:21:49 +0000
Value = 0, 2013-07-23 16:21:50 +0000
Value = 1, 2013-07-23 16:21:52 +0000
Value = 0, 2013-07-23 16:21:53 +0000
Value = 0, 2013-07-23 16:21:54 +0000
Value = 0, 2013-07-23 16:21:55 +0000
Value = 640, 2013-07-23 16:21:56 +0000
